competition,market_family,bookmaker,correlation_group,two_sided_line_count,target_snapshot_count,timestamped_snapshot_count,timestamp_complete_rate,eligible,two_sided_lines
LaLiga,AWAY_TEAM_TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,9,4052,4052,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5
LaLiga,TOTAL_CORNERS,betmgm,MGM,7,51,51,1.0,True,6.5;7.5;8.5;9.5;10.5;11.5;12.5
LaLiga,HOME_TEAM_TOTAL_CORNERS,betmgm,MGM,3,24,24,1.0,True,3.5;4.5;5.5
LaLiga,AWAY_TEAM_TOTAL_CORNERS,betmgm,MGM,3,15,15,1.0,True,3.5;4.5;5.5
LaLiga,TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,12,3848,3848,1.0,True,3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5
LaLiga,HOME_TEAM_TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,9,3196,3196,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5
LaLiga,AWAY_TEAM_TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,9,2737,2737,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5
LaLiga,TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,12,4014,4014,1.0,True,3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5
LaLiga,HOME_TEAM_TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,9,3347,3347,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5
LaLiga,AWAY_TEAM_TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,9,2865,2865,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5
LaLiga,TOTAL_CORNERS,borgata,MGM,7,79,79,1.0,True,6.5;7.5;8.5;9.5;10.5;11.5;12.5
LaLiga,HOME_TEAM_TOTAL_CORNERS,borgata,MGM,3,36,36,1.0,True,3.5;4.5;5.5
LaLiga,AWAY_TEAM_TOTAL_CORNERS,borgata,MGM,3,27,27,1.0,True,3.5;4.5;5.5
LaLiga,TOTAL_CORNERS,draftkings,DRAFTKINGS,7,851,851,1.0,True,5.5;6.5;7.5;8.5;9.5;10.5;11.5
